,region,farm_size_ha,barley_variety,variety_maturity,soil_type,soil_ph,organic_matter_percent,nitrogen_content_percent,phosphorus_content_ppm,potassium_content_ppm,growing_season_temp_c,rainfall_mm,sunshine_hours_day,yield_tons_ha
210,Marrakech-Tensift-Al Haouz,2.7,Khnata,Early,Sandy,8.0,0.95,0.23,8.91,177.01,18.6,240.29,7.72,2.1
211,Meknès-Tafilalet,1.39,Amira,Late,Clay,7.1,1.86,0.24,14.78,201.47,23.16,241.54,8.04,1.24
212,Meknès-Tafilalet,11.82,Khnata,Early,Clay,8.4,1.81,0.15,12.6,131.3,16.62,365.22,7.45,2.2
213,Doukkala-Abda,,Amira,Late,Sandy,8.0,1.14,,34.99,86.05,17.63,306.94,7.37,2.73
214,Meknès-Tafilalet,1.34,Khnata,Early,Clay,7.1,1.19,0.14,13.24,216.4,15.79,396.43,7.76,5.17
215,Doukkala-Abda,29.87,Khnata,Early,Vertisol,6.8,,0.14,32.69,,21.51,320.16,8.07,2.83
216,Fès-Boulemane,1.34,Khnata,Early,Loam,7.3,0.8,0.11,19.5,212.67,19.43,358.04,7.81,4.77
217,Meknès-Tafilalet,10.58,Khnata,Early,Sandy,7.7,1.63,0.18,,131.61,16.78,354.43,7.0,3.2
218,Meknès-Tafilalet,14.76,Amira,Late,Clay,,1.39,0.16,17.24,81.41,22.88,313.33,7.8,4.92
219,Souss-Massa-Drâa,3.97,Amira,Late,Clay,8.5,,0.23,22.29,176.48,20.75,337.09,8.11,5.88
220,Meknès-Tafilalet,2.56,Assiya,Medium,Clay,7.9,1.06,0.09,23.02,217.28,17.2,327.44,8.41,2.2
221,Marrakech-Tensift-Al Haouz,2.26,Khnata,Early,Sandy,8.4,1.25,0.19,10.73,215.19,22.39,227.12,9.13,5.31
222,Chaouia-Ouardigha,12.58,Khnata,Early,Vertisol,7.3,0.9,0.21,13.77,102.53,18.85,,9.16,4.11
223,Gharb-Chrarda-Beni Hssen,1.97,Khnata,Early,Vertisol,6.8,1.7,0.21,21.7,105.37,21.42,472.98,8.29,5.09
224,Doukkala-Abda,22.3,Khnata,Early,Vertisol,7.4,1.03,0.23,15.84,159.18,23.63,384.64,7.54,4.26
225,Doukkala-Abda,6.56,Chifaa,Medium,Vertisol,8.0,,0.2,26.96,169.22,17.39,277.95,6.68,3.12
226,Tanger-Tétouan,7.89,Khnata,Early,Sandy,7.5,1.22,0.24,22.53,183.52,22.29,325.86,,2.14
227,Gharb-Chrarda-Beni Hssen,14.95,Assiya,Medium,Clay,,2.26,0.14,,105.35,14.61,425.45,6.67,1.35
228,Souss-Massa-Drâa,12.3,Khnata,Early,Loam,7.9,1.35,0.17,,214.26,,216.67,8.82,3.68
229,Meknès-Tafilalet,,Khnata,Early,Clay,7.0,0.99,0.08,18.67,169.42,20.13,352.25,,5.95
230,Rabat-Salé-Zemmour-Zaër,4.94,Assiya,Medium,Loam,7.4,2.12,0.08,14.39,,17.84,408.75,6.51,4.69
231,Gharb-Chrarda-Beni Hssen,9.55,Amira,Late,Vertisol,7.3,,0.12,17.82,155.61,20.08,527.2,7.58,2.64
232,Marrakech-Tensift-Al Haouz,8.14,Khnata,Early,Clay,7.7,1.02,0.1,20.06,138.0,22.58,260.51,6.33,5.14
233,Gharb-Chrarda-Beni Hssen,6.68,Khnata,Early,Loam,7.1,2.6,0.12,32.09,216.81,17.39,409.39,6.53,4.84
235,Meknès-Tafilalet,13.36,Khnata,Early,Clay,8.1,1.31,0.08,8.3,201.36,15.18,484.22,7.86,1.07
236,Fès-Boulemane,7.02,Khnata,Early,Loam,7.4,1.71,,11.68,213.46,15.34,198.59,7.22,1.59
237,Chaouia-Ouardigha,9.87,Massine,Late,Vertisol,7.6,1.23,0.08,9.18,174.55,19.46,393.24,,5.39
238,Meknès-Tafilalet,5.83,Amira,Late,Clay,8.3,1.52,0.21,17.7,156.85,18.15,502.76,,5.18
239,Doukkala-Abda,15.35,Amira,Late,Sandy,7.5,1.37,0.11,30.13,80.49,23.08,262.93,6.98,2.48
240,Tadla-Azilal,,Assiya,Medium,Vertisol,7.0,1.55,0.24,9.88,85.6,19.27,377.08,6.55,2.43
241,Tadla-Azilal,11.14,Assiya,Medium,Clay,6.5,0.8,0.23,22.25,108.12,17.87,400.28,7.43,4.96
242,Tadla-Azilal,11.65,Assiya,Medium,Clay,6.8,0.8,,17.44,106.04,19.82,420.49,6.55,5.69
243,Gharb-Chrarda-Beni Hssen,0.66,Amira,Late,Loam,6.8,2.51,0.19,28.8,115.67,16.62,447.92,7.17,4.9
244,Chaouia-Ouardigha,15.4,Amira,Late,Vertisol,7.6,1.91,0.08,24.51,122.69,20.03,386.63,7.68,4.03
245,Tadla-Azilal,7.48,Khnata,Early,Clay,7.6,1.14,0.25,9.42,130.41,19.94,325.54,7.13,2.21
246,Gharb-Chrarda-Beni Hssen,0.78,Assiya,Medium,Vertisol,7.3,,0.23,33.02,138.88,18.9,417.67,8.29,3.63
247,Tanger-Tétouan,4.27,Assiya,Medium,Loam,6.4,1.62,0.23,10.14,93.84,21.52,318.72,7.52,2.17
248,Tanger-Tétouan,11.52,Chifaa,Medium,Loam,6.9,1.78,,14.68,,21.11,388.29,6.77,5.04
249,Souss-Massa-Drâa,2.49,Amira,Late,Loam,8.4,0.8,0.14,22.47,174.35,22.32,271.15,8.02,2.93
250,Fès-Boulemane,,Assiya,Medium,Clay,7.6,1.15,,23.41,155.23,,,8.66,5.17
252,Souss-Massa-Drâa,0.68,Amira,Late,Sandy,8.2,1.78,0.18,18.1,,19.89,267.25,9.26,5.12
253,Fès-Boulemane,4.0,Khnata,Early,Loam,8.3,2.5,0.1,20.04,,15.65,345.27,7.38,2.67
255,Marrakech-Tensift-Al Haouz,,Khnata,Early,Loam,8.0,0.94,0.1,,169.76,18.5,207.18,9.89,4.08
256,Tadla-Azilal,14.41,Amira,Late,Clay,7.6,1.66,0.12,21.77,,20.59,344.12,7.4,1.35
257,Meknès-Tafilalet,7.57,Khnata,Early,Loam,,2.03,0.17,,197.55,19.62,365.09,9.17,5.74
258,Marrakech-Tensift-Al Haouz,2.09,Assiya,Medium,Sandy,7.2,1.54,0.21,15.66,139.64,22.98,290.7,8.76,3.87
259,Chaouia-Ouardigha,18.7,Chifaa,Medium,Clay,7.4,1.14,0.19,15.21,170.26,19.17,416.63,8.58,3.54
260,Marrakech-Tensift-Al Haouz,7.09,Khnata,Early,Sandy,8.0,1.88,0.12,16.66,104.79,23.62,243.27,7.97,5.2
261,Tanger-Tétouan,12.74,Assiya,Medium,Sandy,7.8,1.77,0.08,24.07,158.47,,445.7,6.13,5.33
262,Chaouia-Ouardigha,7.45,Assiya,Medium,Sandy,7.0,1.09,0.21,17.32,217.39,19.98,315.38,7.78,3.61
263,Gharb-Chrarda-Beni Hssen,7.58,Khnata,Early,Vertisol,7.2,2.39,0.25,34.06,,,460.96,6.9,5.64
264,Souss-Massa-Drâa,2.68,Chifaa,Medium,Sandy,8.3,1.9,0.22,11.06,,23.01,263.87,,1.32
265,Meknès-Tafilalet,5.21,Khnata,Early,Sandy,9.1,1.97,0.16,20.31,,17.33,438.97,8.0,1.57
266,Meknès-Tafilalet,11.19,Assiya,Medium,Loam,7.9,1.47,0.23,21.81,219.84,19.41,367.64,8.31,3.98
267,Meknès-Tafilalet,7.4,Amira,Late,Clay,7.1,1.36,0.15,19.55,161.09,14.99,377.29,6.46,2.77
268,Gharb-Chrarda-Beni Hssen,5.95,Amira,Late,Clay,7.1,2.81,0.17,,85.92,19.98,533.82,7.94,3.32
269,Fès-Boulemane,6.22,Amira,Late,Clay,7.3,1.02,0.16,17.6,162.15,19.45,355.68,8.76,2.64
270,Souss-Massa-Drâa,7.16,Khnata,Early,Sandy,7.3,1.68,0.16,22.64,118.44,20.79,217.81,8.45,3.02
271,Souss-Massa-Drâa,11.88,Khnata,Early,Sandy,7.9,,0.21,21.97,84.55,24.34,270.82,9.13,5.11
272,Souss-Massa-Drâa,13.44,Amira,Late,Sandy,8.3,1.93,0.17,10.08,,23.85,273.53,6.88,3.97
273,Tadla-Azilal,14.35,Assiya,Medium,Vertisol,6.9,1.4,0.13,22.43,118.6,17.64,331.3,7.49,5.99
274,Gharb-Chrarda-Beni Hssen,,Chifaa,Medium,Vertisol,7.5,,0.12,23.28,191.52,21.19,517.26,7.73,4.93
275,Gharb-Chrarda-Beni Hssen,5.07,Chifaa,Medium,Clay,7.3,2.45,0.09,20.07,120.35,18.92,458.11,8.21,2.37
276,Rabat-Salé-Zemmour-Zaër,10.48,Chifaa,Medium,Loam,7.1,1.59,0.18,22.79,107.21,17.06,442.51,6.58,2.32
277,Meknès-Tafilalet,6.85,Assiya,Medium,Clay,7.4,2.07,0.12,15.34,216.35,20.22,279.95,7.96,2.68
278,Meknès-Tafilalet,4.19,Assiya,Medium,Clay,8.3,2.12,0.11,21.74,130.63,17.72,356.67,9.52,5.22
280,Souss-Massa-Drâa,1.06,Assiya,Medium,Sandy,8.0,1.2,0.2,8.07,165.4,21.32,236.84,8.9,2.15
281,Fès-Boulemane,13.58,Khnata,Early,Clay,7.4,1.38,0.21,16.42,158.47,19.44,378.92,7.67,5.52
282,Gharb-Chrarda-Beni Hssen,7.19,Chifaa,Medium,Vertisol,7.2,2.27,0.17,17.0,208.06,18.63,497.27,6.68,4.2
283,Chaouia-Ouardigha,20.93,Chifaa,Medium,Vertisol,7.0,1.22,0.23,20.82,,,331.62,7.79,2.13
284,Marrakech-Tensift-Al Haouz,10.06,Assiya,Medium,Sandy,7.2,2.18,0.24,12.69,136.52,23.35,,,2.1
285,Chaouia-Ouardigha,27.38,Khnata,Early,Vertisol,7.8,1.56,0.22,15.54,200.73,21.41,318.57,8.67,5.31
286,Gharb-Chrarda-Beni Hssen,9.73,Assiya,Medium,Clay,7.2,0.85,0.19,16.74,105.35,23.53,,7.81,5.47
287,Marrakech-Tensift-Al Haouz,9.4,Chifaa,Medium,Loam,8.2,1.64,0.13,12.87,156.19,22.55,267.36,8.19,2.28
289,Marrakech-Tensift-Al Haouz,8.02,Khnata,Early,Sandy,7.7,1.47,0.13,10.58,167.56,23.49,205.65,7.58,5.17
291,Chaouia-Ouardigha,23.44,Chifaa,Medium,Clay,6.7,1.82,0.16,23.6,171.5,21.26,398.88,8.57,5.07
292,Souss-Massa-Drâa,7.93,Assiya,Medium,Sandy,8.9,1.95,0.09,19.56,197.51,21.53,161.7,7.63,3.59
293,Gharb-Chrarda-Beni Hssen,10.36,Assiya,Medium,Vertisol,6.8,2.34,0.25,31.22,212.23,19.53,393.79,8.68,5.56
294,Chaouia-Ouardigha,6.04,Massine,Late,Vertisol,6.9,1.36,0.18,9.85,,21.26,356.36,,2.63
295,Gharb-Chrarda-Beni Hssen,1.73,Khnata,Early,Vertisol,7.1,2.18,0.17,20.01,103.75,21.27,458.52,6.84,1.78
296,Rabat-Salé-Zemmour-Zaër,,Amira,Late,Loam,8.1,2.21,0.19,23.21,147.76,19.25,461.77,8.21,4.54
297,Doukkala-Abda,6.8,Khnata,Early,Sandy,,1.18,0.16,29.3,,20.1,389.74,9.06,3.7
298,Marrakech-Tensift-Al Haouz,1.53,Assiya,Medium,Sandy,7.5,1.73,0.09,18.87,111.81,20.96,246.96,8.43,5.27
299,Chaouia-Ouardigha,5.3,Chifaa,Medium,Sandy,7.6,1.68,0.18,19.28,80.57,20.14,372.25,10.02,1.41
300,Chaouia-Ouardigha,28.91,Assiya,Medium,Vertisol,7.4,2.12,0.2,15.04,128.01,16.34,234.06,6.96,5.22
301,Marrakech-Tensift-Al Haouz,11.19,Massine,Late,Sandy,8.2,2.0,0.15,8.76,215.64,,,6.91,2.47
302,Marrakech-Tensift-Al Haouz,5.62,Amira,Late,Loam,8.3,1.23,,21.34,177.3,19.72,250.02,8.81,4.27
303,Meknès-Tafilalet,4.8,Assiya,Medium,Clay,8.7,1.83,0.12,19.54,136.19,18.61,266.34,7.4,1.2
304,Meknès-Tafilalet,5.57,Khnata,Early,Loam,8.6,1.12,0.12,16.04,106.96,19.03,374.55,9.42,4.05
305,Tanger-Tétouan,11.73,Assiya,Medium,Loam,7.2,1.78,,23.3,129.85,19.23,295.52,6.07,4.59
306,Gharb-Chrarda-Beni Hssen,,Assiya,Medium,Vertisol,7.7,1.94,0.14,21.72,103.78,20.82,463.04,8.57,2.84
307,Fès-Boulemane,3.19,Khnata,Early,Sandy,7.7,1.09,0.22,13.0,94.88,,380.39,8.21,2.08
308,Rabat-Salé-Zemmour-Zaër,3.02,Assiya,Medium,Loam,7.7,2.34,0.22,22.84,206.94,18.81,407.58,7.67,3.69
309,Fès-Boulemane,1.93,Assiya,Medium,Sandy,6.7,0.8,0.15,,219.67,18.03,450.73,7.83,5.17
310,Gharb-Chrarda-Beni Hssen,,Amira,Late,Vertisol,7.1,1.32,0.18,25.3,102.98,17.64,524.06,7.98,2.62
312,Chaouia-Ouardigha,11.63,Amira,Late,Vertisol,7.4,1.53,0.12,11.66,126.16,22.34,266.84,6.41,2.39
313,Tanger-Tétouan,,Khnata,Early,Loam,8.0,1.35,0.11,19.16,144.63,19.99,423.84,5.34,5.75
314,Souss-Massa-Drâa,1.69,Khnata,Early,Loam,7.2,0.87,0.25,14.55,108.67,23.83,,8.15,2.8
315,Meknès-Tafilalet,14.53,Amira,Late,Sandy,7.5,1.17,0.18,22.22,,17.86,357.63,7.55,1.02
316,Gharb-Chrarda-Beni Hssen,4.78,Assiya,Medium,Loam,7.5,2.4,0.25,34.0,108.12,21.0,497.16,7.33,4.91
320,Marrakech-Tensift-Al Haouz,,Assiya,Medium,Sandy,8.1,1.66,0.12,13.97,134.21,20.71,243.74,8.44,4.04
321,Meknès-Tafilalet,2.26,Khnata,Early,Clay,7.4,1.2,0.17,10.84,207.27,16.9,304.21,9.8,3.5
322,Meknès-Tafilalet,9.42,Chifaa,Medium,Clay,6.9,1.39,0.13,8.57,215.73,20.01,284.8,7.11,2.91
323,Fès-Boulemane,11.73,Amira,Late,Clay,6.9,0.94,0.11,14.56,104.31,18.21,405.23,8.15,5.49
324,Tadla-Azilal,9.84,Chifaa,Medium,Clay,7.9,1.46,0.12,23.36,111.22,22.81,365.03,10.45,2.22
325,Meknès-Tafilalet,8.19,Chifaa,Medium,Clay,7.5,1.94,0.09,12.06,153.59,16.67,334.03,7.95,2.43
326,Marrakech-Tensift-Al Haouz,1.11,Chifaa,Medium,Clay,7.9,1.77,0.2,11.51,92.78,23.39,344.73,7.46,1.61
327,Marrakech-Tensift-Al Haouz,14.54,Assiya,Medium,Sandy,7.8,2.06,0.16,24.49,141.1,23.28,221.64,7.15,4.8
328,Gharb-Chrarda-Beni Hssen,12.08,Khnata,Early,Vertisol,7.1,2.05,0.1,15.5,161.45,21.47,386.39,8.68,3.98
329,Doukkala-Abda,12.32,Amira,Late,Sandy,8.0,2.04,0.11,30.72,153.09,21.28,344.64,5.55,4.05
330,Gharb-Chrarda-Beni Hssen,14.71,Amira,Late,Clay,7.1,,0.1,21.43,126.33,22.0,374.65,6.95,2.09
331,Rabat-Salé-Zemmour-Zaër,9.23,Amira,Late,Clay,6.8,2.94,0.18,8.64,155.94,20.26,481.48,6.9,4.26
332,Chaouia-Ouardigha,19.56,Khnata,Early,Sandy,7.4,1.49,0.1,23.6,214.23,18.41,228.74,6.73,4.83
333,Chaouia-Ouardigha,23.7,Khnata,Early,Vertisol,7.1,1.78,0.21,10.37,108.84,20.31,278.7,7.34,2.79
334,Chaouia-Ouardigha,25.29,Chifaa,Medium,Vertisol,7.2,2.09,0.08,17.38,171.68,20.35,337.07,8.53,5.01
335,Chaouia-Ouardigha,21.41,Amira,Late,Vertisol,7.7,1.42,0.12,12.66,86.08,20.48,277.74,,2.74
336,Souss-Massa-Drâa,2.36,Massine,Late,Sandy,8.0,1.59,0.23,,89.3,25.08,276.24,,4.79
337,Meknès-Tafilalet,5.4,Chifaa,Medium,Clay,7.6,2.02,0.2,8.85,157.26,19.54,386.41,7.36,1.17
338,Gharb-Chrarda-Beni Hssen,13.96,Amira,Late,Vertisol,6.8,2.13,0.09,17.31,94.69,20.44,433.39,6.08,3.76
339,Chaouia-Ouardigha,10.62,Amira,Late,Vertisol,7.1,0.97,0.22,9.21,83.13,18.9,271.76,7.04,5.85
341,Gharb-Chrarda-Beni Hssen,6.77,Amira,Late,Loam,6.7,1.97,0.22,24.71,159.08,22.29,418.19,,2.41
343,Gharb-Chrarda-Beni Hssen,9.39,Khnata,Early,Vertisol,7.2,2.78,0.2,23.37,,19.86,470.25,8.8,1.31
344,Gharb-Chrarda-Beni Hssen,14.17,Assiya,Medium,Vertisol,7.2,,0.25,33.58,173.56,18.49,484.1,6.82,5.37
345,Marrakech-Tensift-Al Haouz,3.99,Amira,Late,Sandy,8.4,1.1,0.12,23.48,105.55,23.56,325.88,8.94,3.84
346,Meknès-Tafilalet,2.26,Khnata,Early,Sandy,7.7,1.6,0.19,,165.88,21.27,299.69,7.94,2.93
347,Chaouia-Ouardigha,9.94,Khnata,Early,Vertisol,7.6,,0.16,23.04,137.67,17.64,395.19,7.11,1.56
349,Marrakech-Tensift-Al Haouz,9.86,Khnata,Early,Sandy,8.1,1.6,0.08,14.48,219.31,21.63,282.93,9.0,3.65
350,Gharb-Chrarda-Beni Hssen,,Khnata,Early,Loam,7.2,2.07,0.1,27.27,211.29,16.44,497.49,7.09,2.41
351,Souss-Massa-Drâa,,Assiya,Medium,Sandy,7.6,0.88,0.19,18.6,80.6,,152.8,7.54,2.75
352,Meknès-Tafilalet,12.99,Massine,Late,Loam,8.0,2.14,0.18,16.19,203.96,17.27,296.96,7.43,2.35
353,Doukkala-Abda,26.16,Assiya,Medium,Vertisol,8.7,1.54,0.17,23.01,89.31,,390.24,8.01,4.01
354,Chaouia-Ouardigha,27.97,Khnata,Early,Sandy,7.2,2.07,0.09,24.77,213.43,15.76,331.72,6.19,5.65
355,Meknès-Tafilalet,4.16,Khnata,Early,Clay,7.8,1.4,0.16,21.96,119.46,19.14,378.31,7.99,5.28
356,Chaouia-Ouardigha,23.88,Amira,Late,Vertisol,,1.15,0.24,15.39,133.48,19.31,306.3,7.17,3.3
357,Marrakech-Tensift-Al Haouz,7.18,Assiya,Medium,Loam,,1.61,,20.36,92.83,23.15,284.0,7.76,5.13
358,Tadla-Azilal,12.71,Chifaa,Medium,Loam,6.6,1.41,0.19,12.58,95.72,20.37,310.6,7.45,3.12
359,Marrakech-Tensift-Al Haouz,11.06,Amira,Late,Loam,7.7,1.03,0.21,9.7,181.74,19.97,236.8,7.98,2.26
360,Gharb-Chrarda-Beni Hssen,11.76,Chifaa,Medium,Vertisol,6.8,2.93,0.21,22.05,212.21,15.74,496.22,7.3,5.92
361,Meknès-Tafilalet,10.01,Khnata,Early,Loam,,1.25,0.17,14.85,165.5,19.13,352.82,7.0,2.52
362,Gharb-Chrarda-Beni Hssen,3.07,Amira,Late,Vertisol,7.2,1.28,0.23,15.33,180.22,19.0,527.01,7.65,2.62
363,Marrakech-Tensift-Al Haouz,8.4,Khnata,Early,Sandy,7.9,2.03,0.15,21.85,186.68,23.45,230.28,8.92,5.95
364,Tadla-Azilal,14.78,Massine,Late,Clay,7.9,1.3,0.23,14.11,116.79,,334.86,5.81,1.67
365,Gharb-Chrarda-Beni Hssen,14.09,Amira,Late,Vertisol,6.9,1.9,0.12,,86.33,21.05,483.49,8.24,4.8
366,Tanger-Tétouan,1.13,Assiya,Medium,Loam,7.1,0.8,0.13,9.26,,20.53,382.28,,5.68
368,Doukkala-Abda,8.29,Khnata,Early,Sandy,,0.98,0.22,32.79,113.8,20.31,377.31,5.67,1.01
369,Chaouia-Ouardigha,23.15,Amira,Late,Sandy,7.4,1.52,0.15,18.35,88.72,21.39,492.47,7.42,2.88
370,Chaouia-Ouardigha,25.44,Khnata,Early,Vertisol,,1.87,0.12,24.15,105.13,18.77,326.3,7.14,1.56
371,Chaouia-Ouardigha,10.34,Amira,Late,Vertisol,7.2,1.67,0.12,24.98,97.43,19.86,265.59,7.17,3.08
372,Chaouia-Ouardigha,17.65,Khnata,Early,Vertisol,7.3,1.48,0.23,14.32,208.08,19.02,423.71,7.4,4.95
373,Meknès-Tafilalet,12.69,Amira,Late,Clay,7.6,0.82,0.22,13.08,,22.4,303.48,8.84,3.19
374,Chaouia-Ouardigha,23.32,Chifaa,Medium,Vertisol,6.9,1.18,0.17,22.59,155.27,18.75,457.07,7.34,3.16
375,Fès-Boulemane,8.36,Chifaa,Medium,Loam,7.5,1.58,0.18,24.98,163.03,17.67,319.93,6.17,3.78
376,Souss-Massa-Drâa,9.06,Chifaa,Medium,Sandy,7.6,1.19,0.16,18.7,156.09,23.14,241.99,9.05,3.91
377,Chaouia-Ouardigha,17.71,Khnata,Early,Sandy,7.2,1.58,0.15,21.52,93.87,21.23,356.23,,5.28
378,Souss-Massa-Drâa,4.81,Khnata,Early,Sandy,7.8,1.77,0.24,21.29,124.63,23.29,216.55,7.83,2.54
379,Fès-Boulemane,8.69,Amira,Late,Sandy,8.8,,0.1,14.04,87.18,14.27,306.79,9.09,5.11
380,Chaouia-Ouardigha,22.22,Assiya,Medium,Vertisol,7.2,1.01,0.15,17.76,135.39,20.43,440.72,8.1,3.83
381,Meknès-Tafilalet,13.16,Assiya,Medium,Clay,6.8,2.38,0.14,22.16,106.4,17.69,,,2.5
382,Marrakech-Tensift-Al Haouz,9.73,Khnata,Early,Loam,7.9,1.81,0.16,19.7,158.63,23.93,211.81,8.36,2.48
383,Souss-Massa-Drâa,11.54,Khnata,Early,Sandy,8.2,1.5,0.16,8.36,176.99,19.69,284.58,7.52,2.81
384,Meknès-Tafilalet,2.82,Khnata,Early,Clay,8.3,1.94,0.17,13.72,154.5,17.36,307.04,6.89,4.11
385,Souss-Massa-Drâa,7.19,Chifaa,Medium,Loam,7.8,2.45,0.1,10.46,140.79,22.13,239.07,8.31,2.15
387,Doukkala-Abda,11.17,Amira,Late,Sandy,7.9,,0.12,33.11,197.84,20.59,335.1,6.72,3.87
388,Rabat-Salé-Zemmour-Zaër,11.03,Khnata,Early,Loam,6.8,1.01,0.11,8.63,110.71,20.56,461.52,7.29,5.6
389,Souss-Massa-Drâa,14.88,Amira,Late,Sandy,7.8,1.58,0.09,11.74,182.79,23.01,224.13,8.74,1.23
390,Tanger-Tétouan,1.94,Assiya,Medium,Loam,7.4,1.65,0.21,13.26,186.05,18.87,298.76,6.06,2.71
391,Gharb-Chrarda-Beni Hssen,6.32,Chifaa,Medium,Vertisol,7.2,2.18,0.15,27.34,138.69,23.53,390.33,6.71,1.11
392,Gharb-Chrarda-Beni Hssen,12.1,Chifaa,Medium,Vertisol,7.4,1.87,0.19,25.68,121.62,20.58,440.22,7.39,2.36
394,Fès-Boulemane,8.55,Massine,Late,Clay,7.4,1.65,0.2,10.79,93.05,17.15,402.48,7.0,1.18
395,Tadla-Azilal,11.13,Massine,Late,Clay,7.5,2.08,0.16,12.03,86.43,19.45,347.1,5.71,3.18
396,Souss-Massa-Drâa,9.43,Chifaa,Medium,Sandy,8.1,1.26,0.15,16.54,95.62,19.69,211.37,10.25,1.59
397,Gharb-Chrarda-Beni Hssen,,Chifaa,Medium,Vertisol,7.2,2.42,0.14,20.42,106.2,,435.57,7.76,3.08
398,Rabat-Salé-Zemmour-Zaër,5.65,Khnata,Early,Loam,7.7,1.42,0.19,24.11,150.58,19.48,,7.92,5.19
399,Rabat-Salé-Zemmour-Zaër,11.86,Amira,Late,Sandy,7.9,,0.16,15.89,198.88,21.38,397.67,8.98,4.12
401,Tadla-Azilal,0.58,Khnata,Early,Clay,7.7,1.2,0.23,20.4,210.92,22.48,325.67,7.28,2.75
402,Gharb-Chrarda-Beni Hssen,11.53,Massine,Late,Vertisol,6.7,1.82,0.11,21.58,213.69,20.96,438.16,5.72,5.72
403,Souss-Massa-Drâa,1.01,Assiya,Medium,Sandy,8.0,1.34,0.1,19.11,214.25,21.8,292.28,7.76,4.55
404,Fès-Boulemane,11.31,Amira,Late,Sandy,7.7,1.65,0.19,12.75,197.26,15.88,367.59,7.36,3.11
405,Souss-Massa-Drâa,3.44,Chifaa,Medium,Sandy,8.3,0.98,0.13,17.7,130.94,24.03,287.45,8.49,3.13
406,Gharb-Chrarda-Beni Hssen,14.39,Chifaa,Medium,Loam,7.0,2.0,0.08,30.44,90.18,21.26,395.52,7.62,5.59
407,Chaouia-Ouardigha,14.2,Massine,Late,Vertisol,7.0,1.48,0.23,23.78,159.63,17.42,317.44,7.61,3.88
408,Tadla-Azilal,5.24,Khnata,Early,Vertisol,7.2,1.06,0.12,12.44,158.22,21.65,338.92,8.25,4.53
409,Chaouia-Ouardigha,8.72,Khnata,Early,Vertisol,7.4,2.22,0.24,13.69,199.0,17.92,288.92,8.01,3.09
410,Fès-Boulemane,4.93,Assiya,Medium,Sandy,8.0,1.16,0.2,15.89,,16.48,341.69,6.52,2.12
411,Tadla-Azilal,13.21,Khnata,Early,Clay,7.3,1.23,,23.76,151.14,22.11,323.41,7.49,4.62
412,Tadla-Azilal,14.95,Khnata,Early,Clay,8.0,1.11,0.11,23.32,128.33,17.25,303.18,,4.04
413,Marrakech-Tensift-Al Haouz,5.84,Assiya,Medium,Sandy,8.0,2.22,,9.53,106.03,22.18,283.53,8.22,3.51
414,Meknès-Tafilalet,7.0,Chifaa,Medium,Clay,7.4,1.72,0.17,10.24,80.67,17.69,379.14,7.44,4.12
415,Gharb-Chrarda-Beni Hssen,10.97,Amira,Late,Loam,7.1,1.73,0.11,24.91,151.28,23.79,445.57,8.39,2.04
416,Fès-Boulemane,13.35,Assiya,Medium,Clay,7.9,1.94,0.13,9.81,157.77,18.01,293.0,6.98,4.97
417,Fès-Boulemane,9.1,Amira,Late,Clay,7.7,1.58,0.13,13.87,195.49,16.89,389.2,6.73,5.74
418,Meknès-Tafilalet,6.18,Khnata,Early,Loam,8.6,1.6,0.11,10.52,,15.86,395.12,8.83,5.46
419,Rabat-Salé-Zemmour-Zaër,6.48,Khnata,Early,Loam,7.1,2.03,0.11,18.81,208.31,20.04,422.14,7.5,2.61
420,Rabat-Salé-Zemmour-Zaër,10.59,Chifaa,Medium,Sandy,7.8,1.83,0.21,24.14,167.93,20.49,414.84,8.59,3.03
421,Rabat-Salé-Zemmour-Zaër,0.55,Amira,Late,Clay,7.2,2.37,0.11,24.94,197.65,17.24,466.22,8.2,5.04
422,Chaouia-Ouardigha,20.49,Chifaa,Medium,Vertisol,6.9,1.28,0.08,14.38,100.76,17.98,298.45,6.77,3.98
423,Gharb-Chrarda-Beni Hssen,5.65,Khnata,Early,Clay,7.2,3.11,0.19,26.98,199.75,18.7,436.67,7.18,3.74
424,Chaouia-Ouardigha,24.85,Chifaa,Medium,Vertisol,7.2,,0.25,22.56,174.52,18.83,336.27,6.74,5.63
425,Marrakech-Tensift-Al Haouz,1.85,Amira,Late,Sandy,9.2,2.11,0.14,10.0,103.83,22.25,296.35,8.25,3.68
426,Gharb-Chrarda-Beni Hssen,,Amira,Late,Vertisol,7.1,2.14,0.1,28.79,106.57,20.91,476.19,5.91,3.57
427,Souss-Massa-Drâa,7.47,Amira,Late,Sandy,7.5,1.62,0.18,14.95,209.71,22.91,190.19,8.15,1.21
428,Gharb-Chrarda-Beni Hssen,9.81,Chifaa,Medium,Clay,7.3,2.62,0.23,19.12,84.51,20.01,393.92,7.49,1.35
429,Chaouia-Ouardigha,6.62,Amira,Late,Clay,6.6,1.25,0.21,14.85,,17.39,336.02,7.41,1.04
430,Chaouia-Ouardigha,19.5,Amira,Late,Vertisol,7.2,1.85,0.19,9.29,123.89,19.25,283.83,7.42,5.57
431,Rabat-Salé-Zemmour-Zaër,8.64,Massine,Late,Loam,7.5,0.85,0.13,19.82,173.11,19.22,432.5,8.03,3.04
